82411657	1445	0	139	0	216	0	95	0	104	0	370	0	138	0	59	0	29	0	0	0
86172394	0	0	-6	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
88549620	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84578037	698	0	31	0	14	0	4	0	18	0	26	0	5	0	-4	0	-7	0	0	0
8300355613996	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82580124	0	0	-95	0	0	0	153	0	0	0	-5	0	0	0	0	0	0	0	0	0
87022223	0	0	74	0	-1	0	43	0	27	0	5	0	11	0	16	0	0	0	0	0
88216133	0	0	28	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
87928433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85487598	0	0	90	0	4	0	0	0	0	0	0	0	25	0	27	0	0	0	0	0
86795487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8016209010506	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
8016209010490	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8300140350341	0	0	35	0	23	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
83909924	309	0	60	0	12	0	63	0	12	0	51	0	31	0	40	0	8	0	0	0
8016209002174	0	0	26	0	3	0	7	0	7	0	1	0	19	0	14	0	-2	0	0	0
8016209002204	199	0	22	0	29	0	25	0	12	0	8	0	24	0	20	0	2	0	0	0
8300281310129	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83893773	29	0	14	0	0	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0
85888883	270	0	14	0	30	0	25	0	29	0	27	0	23	0	29	0	6	0	0	0
8300140452380	0	0	0	0	23	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
8300140452397	0	0	0	0	60	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0
8300140452403	0	0	0	0	35	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0
8300140452366	0	0	516	0	-14	0	0	0	0	0	0	0	-1	0	3	0	0	0	0	0
8300140452465	0	0	0	0	-13	0	5	0	0	0	0	0	21	0	0	0	0	0	0	0
81438136	0	0	40	0	-7	0	60	0	10	0	4	0	3	0	16	0	0	0	0	0
8032551291349	0	0	17	0	3	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0
8032551290045	128	0	59	0	-5	0	32	0	28	0	28	0	32	0	25	0	0	0	0	0
8032551290151	12	0	17	0	0	0	6	0	0	0	-6	0	0	0	0	0	0	0	0	0
8032551290038	109	0	0	0	23	0	23	0	0	0	0	0	19	0	0	0	0	0	0	0
8032551290298	7	0	10	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
8032551290021	0	0	0	0	55	0	15	0	8	0	0	0	48	0	0	0	0	0	0	0
89203835	0	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
8029377038579	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8029377038609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88028965	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
88090290	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
82660505	74	0	66	0	36	0	32	0	5	0	26	0	23	0	71	0	0	0	0	0
81563128	472	0	36	0	78	0	102	0	61	0	84	0	35	0	61	0	0	0	0	0
8029377035707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8029377039453	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300140150699	0	0	9	0	8	0	46	0	11	0	0	0	27	0	6	0	0	0	0	0
8300140452410	0	0	57	0	35	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
8300140150637	0	0	0	0	4	0	30	0	0	0	0	0	3	0	0	0	0	0	0	0
8300140452441	0	0	61	0	34	0	26	0	0	0	0	0	22	0	4	0	0	0	0	0
82046446	0	0	145	0	-225	0	65	0	93	0	0	0	-32	0	-9	0	0	0	0	0
8032551290137	9	0	141	0	23	0	26	0	6	0	0	0	35	0	2	0	0	0	0	0
8032551291356	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25386486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84253378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85490024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8016209025067	0	0	14	0	2	0	2	0	0	0	0	0	-3	0	5	0	0	0	0	0
8300140452472	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
8690552510007	0	0	11.14	0	4.63	0	-2	0	4.5	0	0	0	19.08	0	9.49	0	1.02	0	0	0
87069471	0	0	-5	0	-1	0	-49	0	6	0	0	0	4	0	-6	0	0	0	0	0
8300140451437	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89988619	0	0	0	0	0	0	40.3	0	0	0	0	0	0	0	0	0	0	0	0	0
8300140160162	0	0	0	0	93	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
8300140160223	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300140160186	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
83344688	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8029377035745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300294007948	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89095409	0	0	0	0	33.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83460210	1572	0	370.11	0	1205.48	0	992.01	0	324.06	0	259.55	0	226	0	249.37	0	0	0	0	0
8300349004007	0	0	20	0	12	0	4	0	-4	0	0	0	7	0	13	0	0	0	0	0
8300349005004	0	0	8	0	5	0	1	0	8	0	0	0	2	0	6	0	0	0	0	0
8300349002102	0	0	1	0	-3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8300349003208	0	0	2	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0
8300349007008	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300349001310	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	6	0	0	0	0	0
85645554	0	0	104	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88116990	10	0	68	0	33	0	-7	0	8	0	0	0	-10	0	19	0	0	0	0	0
8016209025333	22	0	13	0	1	0	12	0	6	0	8	0	6	0	1	0	2	0	0	0
8300182011606	0	0	0	0	1	0	0	0	0	0	0	0	30	0	1	0	0	0	0	0
8300182010289	0	0	0	0	0	0	2	0	4	0	0	0	1	0	11	0	0	0	0	0
8300182011514	96	0	84	0	59	0	71	0	14	0	0	0	95	0	180	0	0	0	0	0
8300182345275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300182322641	60	0	36	0	13	0	60	0	31	0	12	0	13	0	31	0	0	0	0	0
8300182023111	0	0	0	0	28	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
8300182340508	0	0	-2	0	18	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
8300182011590	0	0	1	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0
8300182013648	0	0	-1	0	177	0	40	0	0	0	24	0	45	0	11	0	0	0	0	0
8300182021117	0	0	0	0	-18	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0
8300182011545	0	0	399	0	-17	0	68	0	11	0	0	0	33	0	26	0	0	0	0	0
87419412	1070	0	99	0	220	0	23	0	42	0	27	0	-92	0	300	0	158	0	0	0
83644672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300182344803	0	0	22	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
8300140452427	0	0	0	0	-9	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0
8300140452342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87367348	336	0	12	0	12	0	9	0	12	0	23	0	12	0	11	0	0	0	0	0
8300182044628	0	0	0	0	4	0	0	0	-3	0	0	0	1	0	13	0	0	0	0	0
8300182014560	5	0	1	0	7	0	86	0	0	0	0	0	51	0	1	0	0	0	0	0
8300182014539	0	0	15	0	52	0	32	0	0	0	0	0	49	0	0	0	0	0	0	0
8003562210070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300349002010	0	0	0	0	5	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0
8032595981114	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
8300349001105	0	0	9	0	2	0	6	0	13	0	0	0	5	0	7	0	0	0	0	0
8300010198905	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83537158	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82922597	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300182321705	0	0	19	0	5	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0
8300483090201	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300483090324	0	0	0	0	45	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
8300483090300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300483002211	0	0	38	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8300349003109	20	0	7	0	7	0	8	0	9	0	12	0	2	0	8	0	0	0	0	0
8300349003000	0	0	14	0	3	0	3	0	14	0	0	0	8	0	9	0	0	0	0	0
8029377040176	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
8300193184504	0	0	25	0	8	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0
8033003640463	0	0	0	0	0	0	6	0	-2	0	0	0	4	0	9	0	0	0	0	0
8300182014164	207	0	17	0	24	0	3	0	0	0	0	0	13	0	4	0	0	0	0	0
8300182023685	0	0	18	0	24	0	27	0	32	0	0	0	13	0	24	0	0	0	0	0
8300182014157	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
